product_id,warehouse_region,stock_on_hand,last_restock_date,snapshot_date
1,North,274,2026-05-31,2026-08-07
2,South,26,2026-06-18,2026-08-07
3,East,193,2026-07-26,2026-08-07
4,Central,308,2026-06-10,2026-08-07
5,North,447,2026-07-17,2026-08-07
6,North,96,2026-05-20,2026-08-07
7,Central,370,2026-06-24,2026-08-07
8,Central,111,2026-07-13,2026-08-07
9,West,106,2026-06-24,2026-08-07
10,East,155,2026-06-24,2026-08-07
11,North,108,2026-05-29,2026-08-07
12,South,492,2026-07-05,2026-08-07
13,North,382,2026-05-24,2026-08-07
14,West,468,2026-07-10,2026-08-07
15,South,356,2026-07-28,2026-08-07
16,Central,360,2026-06-17,2026-08-07
17,South,203,2026-05-11,2026-08-07
18,South,282,2026-06-01,2026-08-07
19,East,397,2026-05-13,2026-08-07
20,East,194,2026-05-21,2026-08-07
21,West,273,2026-07-03,2026-08-07
22,East,157,2026-07-05,2026-08-07
23,East,184,2026-05-24,2026-08-07
24,Central,451,2026-05-22,2026-08-07
25,West,238,2026-07-09,2026-08-07
26,North,411,2026-06-27,2026-08-07
27,West,389,2026-05-12,2026-08-07
28,East,468,2026-08-03,2026-08-07
29,South,189,2026-07-03,2026-08-07
30,East,211,2026-05-23,2026-08-07
31,North,288,2026-05-14,2026-08-07
32,South,379,2026-05-25,2026-08-07
33,South,8,2026-06-03,2026-08-07
34,East,283,2026-08-06,2026-08-07
35,Central,296,2026-05-26,2026-08-07
36,West,151,2026-06-28,2026-08-07
37,South,100,2026-06-17,2026-08-07
38,East,117,2026-07-06,2026-08-07
39,West,291,2026-07-02,2026-08-07
40,South,255,2026-07-09,2026-08-07
41,Central,335,2026-05-10,2026-08-07
42,East,131,2026-08-02,2026-08-07
43,West,494,2026-07-17,2026-08-07
44,West,235,2026-07-18,2026-08-07
45,South,375,2026-07-12,2026-08-07
46,East,86,2026-07-27,2026-08-07
47,South,368,2026-06-05,2026-08-07
48,Central,250,2026-05-17,2026-08-07
