order_line_id,order_id,product_id,quantity,unit_price
3c743f00,1,4,5,39.86
727439d2,1,144,4,111.39
c114003e,1,98,3,598.38
b1703be1,1,127,3,105.14
dccd00d2,1,108,5,409.77
4a1fcf49,2,118,2,
00742adc,2,102,6,451.88
4e7a39d6,2,85,8,300.34
fa1f8f24,2,35,5,227.38
6be4bf8d,3,82,5,336.54
30aeea29,3,148,4,325.19
493ea3ee,3,101,6,149.65
f31daa9c,4,7,8,588.01
391fc899,4,75,2,110.22
df4e6ea2,5,62,5,663.53
7ce8f199,5,97,2,356.16
48f995bd,5,150,7,192.44
bb91cd87,5,108,9,409.77
b36952c8,6,28,4,211.7
5e1600a9,6,12,10,249.75
49f0f05d,6,103,6,560.59
57db5388,6,3,2,217.43
c2b47395,6,133,9,512.38
2ccbe061,7,129,3,254.73
affde400,7,27,5,304.08
5274934d,7,30,3,230.06
d86bd6df,7,53,9,350.56
1f812581,8,12,2,249.75
889f4447,8,28,3,211.7
5e45de45,8,133,3,512.38
a8e9cbeb,8,110,8,431.46
d9137231,9,51,8,114.5
31d73e06,9,55,4,294.55
72e97395,9,17,10,312.14
6b827550,9,48,6,120.58
4939cce5,10,100,10,499.43
305c52cf,10,91,8,390.95
c47bc62f,10,77,10,107.21
e7318a8e,10,81,2,197.74
ecfc1df6,11,36,10,583.1
83b31077,11,138,3,347.46
aa1eaf0d,12,14,6,613.39
62cae34b,12,50,7,447.11
4fe4989a,12,127,7,105.14
b9bc0241,13,8,4,62.66
2692fc1c,13,138,5,347.46
5d04edde,13,127,9,105.14
05f30a2e,13,69,9,130.35
f0ba3ddc,14,140,4,94.52
38bc8561,15,116,5,353.96
12708878,15,113,2,576.51
49f075bd,16,110,3,431.46
11432dd5,16,53,1,350.56
b534ad94,16,138,3,347.46
cec346c5,16,75,10,110.22
03f19afd,16,25,3,302.2
403704f4,17,34,4,457.44
8d669f5a,17,64,7,319.78
bf88d332,17,69,7,130.35
4215486e,18,95,8,124.61
01643b6e,19,92,2,118.2
ec7785d2,20,73,6,189.8
64dd8234,20,125,6,495.37
320c9980,21,113,-8,576.51
4b678d29,21,52,3,635.0
eef0027a,21,71,2,485.03
105272e7,21,96,3,548.63
673aba51,22,25,1,302.2
fd099c9e,22,58,9,
d5001ed1,23,34,8,457.44
397b1497,24,36,7,583.1
6105496e,25,3,10,217.43
1954c956,25,55,3,294.55
83c20137,26,32,10,505.23
bfed9757,27,64,9,319.78
1f63f0e9,27,73,1,189.8
28050052,28,101,5,149.65
c5b15d57,28,62,8,663.53
6b601f34,28,19,9,
03a30764,28,93,6,85.6
9e0bcb50,28,146,7,375.4
7d34a38e,29,4,5,39.86
c1831791,30,107,7,235.92
3de03f2d,30,138,9,347.46
