order_id,customer_id,employee_id,order_date,status,region
1,48,20,2025-10-31,Completed,West
2,129,8,2026-07-21,Completed,South
3,103,16,2026-07-01,Completed,West
4,304,18,2025-09-03,Completed,Central
5,210,22,2025-11-20,Completed,East
6,360,18,2026-03-22,Completed,North
7,229,12,2026-07-08,Completed,Central
8,225,24,2026-03-01,Completed,East
9,95,6,2026-01-07,Completed,Central
10,135,22,2025-11-10,Completed,East
11,192,23,2025-10-14,Completed,West
12,72,6,2025-08-04,Completed,Central
13,431,15,2026-05-04,Completed,Central
14,422,25,2026-05-17,Completed,West
15,425,21,2026-06-04,Completed,North
16,416,24,2025-08-04,Completed,Central
17,471,2,2026-03-14,Completed,South
18,407,25,2026-02-20,Completed,East
19,2,25,2025-09-16,Completed,West
20,496,14,2026-02-19,Completed,East
21,24,4,2025-08-04,Completed,South
22,372,23,2025-12-25,Completed,North
23,357,11,2026-04-13,Pending,West
24,375,4,2025-10-20,Completed,East
25,69,21,2026-04-26,Completed,Central
26,227,7,2026-06-10,Completed,South
27,220,11,2025-12-02,Completed,North
28,155,7,2026-01-07,Completed,South
29,391,16,2025-12-20,Completed,North
30,486,13,2025-09-12,Completed,Central
31,434,8,2025-10-01,Completed,West
32,342,24,2026-01-14,Completed,South
33,400,9,2026-04-12,Completed,North
34,365,19,2026-03-17,Completed,Central
35,189,6,2025-11-08,Completed,Central
36,284,23,2025-11-11,Completed,South
37,397,10,2026-06-30,Completed,West
38,408,8,2026-02-26,Completed,West
39,435,24,2026-01-13,Completed,Central
40,499,24,2026-03-09,Completed,Central
41,223,22,2025-12-22,Completed,East
42,104,5,2026-03-27,Completed,North
43,47,23,2025-11-17,Pending,West
44,285,24,2026-04-23,Completed,West
45,415,11,2026-01-03,Completed,West
46,371,13,2026-05-22,Completed,West
47,215,7,2025-10-20,Completed,Central
48,120,6,2026-01-09,Completed,South
49,29,25,2026-03-04,Completed,West
50,486,19,2026-06-02,Completed,South
51,470,5,2026-03-06,Completed,East
52,301,4,2026-02-05,Completed,South
53,194,10,2025-10-10,Completed,North
54,170,24,2025-12-23,Completed,East
55,374,11,2026-03-07,Completed,South
56,443,19,2026-03-05,Completed,North
57,83,24,2026-02-05,Completed,North
58,361,1,2025-11-08,Cancelled,South
59,252,5,2025-11-29,Completed,West
60,246,7,2026-03-14,Completed,South
61,402,13,2025-12-13,Completed,East
62,50,3,2026-05-29,Completed,West
63,41,13,2026-05-02,Completed,Central
64,230,6,2026-01-03,Pending,South
65,428,20,2026-05-14,Completed,North
66,291,19,2025-09-24,Completed,North
67,354,8,2026-06-30,Completed,East
68,160,9,2026-07-03,Completed,North
69,421,2,2026-04-15,Completed,North
70,16,8,2025-09-17,Completed,West
71,293,25,2026-05-19,Completed,South
72,308,1,2025-10-30,Completed,East
73,267,20,2026-01-22,Completed,North
74,124,2,2026-06-02,Completed,East
75,337,18,2026-04-30,Completed,West
76,115,24,2025-10-03,Completed,East
77,257,4,2025-09-09,Completed,West
78,161,21,2025-10-24,Completed,East
79,403,25,2026-02-15,Completed,West
80,3,2,2026-01-04,Completed,East
81,173,14,2026-06-03,Completed,West
82,68,7,2025-12-11,Completed,South
83,193,21,2026-06-09,Completed,Central
84,79,7,2026-03-03,Completed,North
85,215,4,2026-03-28,Completed,North
86,57,19,2026-04-29,Completed,North
87,219,24,2026-04-24,Completed,North
88,184,15,2026-05-03,Completed,North
89,411,19,2025-08-22,Completed,West
90,393,24,2025-10-03,Completed,South
91,252,11,2025-12-31,Completed,East
92,294,15,2026-04-05,Completed,West
93,10,4,2025-08-04,Completed,Central
94,308,16,2026-06-10,Completed,North
95,381,24,2025-09-06,Completed,Central
96,259,5,2026-06-17,Completed,North
97,312,23,2025-09-27,Completed,East
98,161,23,2026-02-01,Completed,South
99,7,17,2026-07-27,Completed,South
100,83,10,2026-03-23,Completed,North
101,122,17,2026-01-18,Completed,North
102,227,8,2025-09-05,Completed,Central
103,136,5,2025-08-26,Completed,East
104,397,21,2025-11-12,Completed,East
105,386,20,2025-10-27,Completed,Central
106,334,7,2025-12-24,Completed,North
107,500,24,2025-09-02,Completed,North
108,222,11,2026-03-26,Completed,North
109,388,24,2025-08-16,Completed,North
110,153,22,2026-05-10,Pending,North
111,372,12,2025-12-29,Completed,Central
112,291,2,2026-07-29,Completed,Central
113,414,11,2026-01-04,Completed,East
114,42,9,2026-03-28,Completed,South
115,394,19,2026-04-13,Cancelled,Central
116,302,24,2026-02-20,Completed,Central
117,290,22,2025-11-21,Completed,West
118,106,17,2026-05-05,Completed,West
119,188,19,2026-03-22,Completed,West
120,177,16,2025-08-24,Completed,North
121,247,22,2026-05-29,Completed,Central
122,289,21,2026-06-16,Completed,East
123,445,16,2025-10-09,Completed,West
124,473,15,2026-04-07,Completed,South
125,1,25,2026-02-09,Completed,East
126,210,9,2026-01-19,Completed,North
127,219,21,2025-08-06,Completed,Central
128,383,8,2025-10-19,Completed,South
129,46,3,2026-06-28,Completed,North
130,337,17,2026-04-14,Completed,Central
131,181,22,2026-07-29,Completed,South
132,207,19,2026-06-10,Completed,West
133,175,4,2026-02-19,Pending,Central
134,181,17,2025-11-21,Completed,East
135,128,20,2025-10-16,Completed,North
136,452,19,2025-08-15,Completed,Central
137,352,25,2026-06-02,Completed,North
138,314,9,2026-03-22,Completed,South
139,386,12,2026-02-16,Completed,East
140,410,24,2026-02-18,Completed,North
141,154,9,2026-04-30,Completed,North
142,90,25,2025-10-30,Completed,Central
143,208,3,2026-03-28,Completed,South
144,310,21,2025-10-06,Completed,West
145,33,16,2026-04-20,Completed,West
146,479,9,2025-08-16,Completed,Central
147,389,5,2025-12-19,Completed,Central
148,288,14,2025-11-02,Completed,West
149,70,10,2026-04-13,Completed,Central
150,165,1,2025-08-02,Completed,Central
151,78,1,2025-10-02,Completed,West
152,129,13,2025-09-04,Completed,South
153,102,15,2025-11-17,Completed,South
154,166,6,2026-05-31,Completed,Central
155,102,12,2026-01-04,Completed,South
156,86,9,2025-12-17,Completed,South
157,286,21,2026-04-19,Completed,West
158,98,19,2026-01-02,Completed,East
159,152,9,2026-01-06,Completed,North
160,23,5,2026-03-17,Completed,South
161,132,2,2025-10-18,Completed,North
162,30,20,2026-02-19,Completed,North
163,321,6,2025-08-07,Completed,West
164,423,24,2026-05-15,Completed,Central
165,306,1,2026-05-02,Completed,East
166,128,8,2025-08-28,Completed,North
167,375,19,2026-07-24,Completed,North
168,358,8,2025-09-06,Completed,West
169,173,3,2026-03-03,Completed,North
170,125,3,2025-11-20,Completed,East
171,421,15,2026-05-11,Completed,North
172,385,9,2026-06-20,Completed,South
173,333,13,2026-03-07,Pending,Central
174,288,23,2026-07-23,Completed,Central
175,10,12,2026-03-16,Completed,East
176,175,13,2025-12-15,Completed,West
177,160,20,2025-12-14,Completed,South
178,395,5,2026-06-14,Cancelled,East
179,95,1,2025-11-17,Completed,Central
180,392,1,2025-10-28,Pending,South
181,312,24,2026-03-25,Completed,West
182,493,2,2025-10-16,Completed,West
183,331,15,2026-01-25,Completed,North
184,70,13,2026-07-29,Completed,North
185,406,17,2026-01-05,Cancelled,West
186,68,7,2026-03-13,Completed,East
187,414,1,2025-08-03,Completed,South
188,296,20,2025-11-11,Completed,North
189,297,12,2025-10-08,Completed,East
190,389,14,2026-01-07,Completed,West
191,270,19,2026-02-14,Completed,South
192,327,7,2025-09-12,Completed,East
193,166,25,2026-03-06,Completed,East
194,15,6,2025-08-30,Completed,East
195,275,11,2026-02-13,Completed,West
196,432,6,2025-11-24,Completed,South
197,13,16,2025-12-12,Completed,East
198,267,25,2025-09-16,Completed,East
199,491,20,2026-06-09,Completed,South
200,304,21,2026-02-17,Completed,East
201,364,25,2025-11-10,Completed,South
202,394,12,2026-07-08,Completed,Central
203,221,14,2026-02-26,Completed,Central
204,47,7,2026-06-13,Completed,North
205,163,10,2026-06-06,Completed,East
206,202,21,2026-03-13,Completed,West
207,344,5,2025-11-07,Completed,North
208,441,15,2026-04-28,Cancelled,Central
209,361,12,2026-01-20,Completed,North
210,399,9,2025-12-26,Completed,Central
211,170,14,2026-03-08,Pending,East
212,150,24,2026-02-05,Completed,West
213,17,11,2026-05-28,Pending,Central
214,197,8,2025-11-04,Completed,South
215,243,9,2026-05-23,Completed,West
216,470,18,2025-12-11,Pending,West
217,347,23,2026-05-30,Completed,North
218,129,7,2026-01-27,Completed,North
219,487,20,2026-04-23,Completed,North
220,461,21,2026-01-27,Completed,South
221,226,3,2026-07-16,Pending,South
222,255,5,2026-03-17,Cancelled,West
223,295,1,2026-07-02,Completed,West
224,42,15,2025-08-12,Completed,South
225,377,7,2026-02-05,Completed,North
226,231,1,2025-09-16,Completed,East
227,342,17,2025-11-10,Cancelled,Central
228,50,15,2025-08-28,Completed,Central
229,62,9,2025-12-28,Completed,South
230,324,20,2026-04-05,Completed,North
231,313,23,2026-06-04,Completed,West
232,121,7,2025-10-26,Pending,North
233,321,22,2026-04-21,Completed,South
234,23,2,2026-05-01,Completed,West
235,264,4,2025-10-30,Completed,West
236,460,11,2026-06-08,Completed,East
237,300,16,2025-12-02,Completed,South
238,70,15,2026-01-09,Completed,East
239,235,14,2025-12-17,Completed,South
240,45,14,2026-02-18,Completed,South
241,415,23,2026-02-26,Completed,South
242,209,7,2025-08-05,Completed,South
243,233,15,2026-05-01,Completed,West
244,272,2,2026-06-21,Completed,East
245,455,2,2025-11-12,Completed,West
246,361,3,2025-11-06,Completed,South
247,241,23,2025-11-21,Completed,Central
248,488,21,2025-09-07,Completed,Central
249,331,1,2026-01-03,Completed,North
250,68,10,2026-04-20,Completed,South
251,86,20,2026-05-19,Completed,East
252,163,19,2026-06-16,Completed,East
253,500,6,2025-12-12,Completed,North
254,461,2,2025-08-31,Completed,North
255,329,7,2026-03-05,Completed,East
256,448,18,2026-07-29,Completed,West
257,497,14,2025-10-10,Completed,Central
258,291,25,2026-02-03,Completed,West
259,238,8,2025-12-01,Completed,South
260,242,4,2025-12-17,Completed,West
261,244,23,2025-10-25,Completed,Central
262,164,15,2026-07-15,Completed,North
