product_id,product_name,category,supplier_id,unit_cost,unit_price,reorder_threshold
1,Bag Standard,Toys,5,103.34,247.17,29
2,Wait Plus,Apparel,20,290.47,616.23,15
3,After Plus,Toys,11,96.33,217.43,43
4,Time Plus,Books,12,32.57,39.86,29
5,Movement Max,Home & Kitchen,16,58.18,84.34,18
6,Program Lite,Beauty,4,50.71,94.32,44
7,Allow Standard,Electronics,11,251.36,588.01,49
8,Tax Plus,Apparel,6,43.66,62.66,49
9,Party Max,Toys,15,243.67,306.24,33
10,Particular Max,Sports,20,204.53,321.2,38
11,Interview Max,Home & Kitchen,16,74.03,175.83,22
12,Specific Standard,Sports,15,113.51,249.75,34
13,Performance Plus,Apparel,7,153.36,343.78,18
14,Difference Pro,Toys,16,262.54,613.39,45
15,What Standard,Beauty,4,280.62,440.74,20
16,Although Standard,Apparel,14,85.47,112.75,24
17,Ok Lite,Electronics,14,245.93,312.14,42
18,Ever Plus,Electronics,12,115.32,172.05,30
19,Of Lite,Beauty,5,279.59,385.52,28
20,Wall Plus,Toys,5,275.63,602.66,40
21,Notice Pro,Electronics,1,137.34,210.5,19
22,Marriage Standard,Books,14,166.9,224.4,28
23,Ready Pro,Electronics,8,75.1,131.11,49
24,Stage Pro,Beauty,16,139.85,276.31,11
25,Church Standard,Apparel,5,191.43,302.2,10
26,History Max,Books,14,186.37,269.03,15
27,Including Lite,Electronics,17,159.43,304.08,42
28,Dog Plus,Beauty,16,168.47,211.7,34
29,Vote Lite,Toys,1,294.41,489.96,14
30,Sport Pro,Beauty,19,106.72,230.06,31
31,Perform Lite,Books,11,44.36,100.15,21
32,Significant Plus,Toys,16,249.96,505.23,18
33,Tough Plus,Electronics,10,23.61,34.52,22
34,Fill Lite,Home & Kitchen,17,266.31,457.44,44
35,Center Pro,Beauty,7,144.65,227.38,13
36,Majority Lite,Home & Kitchen,4,260.41,583.1,37
37,More Plus,Sports,11,267.4,659.37,41
38,Mrs Lite,Beauty,17,209.16,323.52,15
39,Believe Pro,Sports,20,219.49,547.33,21
40,Industry Lite,Electronics,3,165.91,269.82,28
41,Himself Standard,Toys,14,95.42,135.18,38
42,Morning Pro,Toys,12,108.71,217.34,37
43,Action Pro,Electronics,13,85.99,143.8,20
44,Recognize Max,Beauty,20,286.07,595.46,38
45,Edge Pro,Apparel,12,15.27,25.51,46
46,Thus Max,Toys,15,14.55,35.41,33
47,Sure Pro,Books,5,135.96,256.73,35
48,Positive Lite,Apparel,4,97.74,120.58,21
49,Return Plus,Books,4,152.22,234.47,26
50,Company Max,Books,10,212.69,447.11,41
51,Sometimes Max,Beauty,3,64.05,114.5,38
52,My Lite,Toys,12,299.19,635.0,45
53,Challenge Lite,Beauty,6,164.94,350.56,50
54,Like Lite,Books,8,56.36,76.52,22
55,Collection Max,Beauty,16,238.66,294.55,45
56,Country Plus,Beauty,18,173.82,237.91,15
57,Others Plus,Toys,16,24.4,45.96,36
58,Others Pro,Apparel,11,247.89,504.47,38
59,Receive Standard,Home & Kitchen,5,142.42,333.45,45
60,Turn Max,Beauty,5,193.74,341.45,13
61,Child Standard,Apparel,10,250.26,353.88,30
62,Simply Max,Home & Kitchen,17,280.75,663.53,15
63,Sign Standard,Home & Kitchen,5,78.93,158.85,49
64,Member Standard,Toys,6,162.38,319.78,47
65,Wrong Standard,Toys,20,50.49,82.75,46
66,Her Pro,Electronics,2,17.15,41.73,46
67,Amount Max,Beauty,19,83.07,144.67,50
68,Discuss Standard,Home & Kitchen,10,13.93,25.46,35
69,Sort Pro,Toys,2,92.74,130.35,36
70,Method Max,Home & Kitchen,20,147.85,205.03,30
71,Each Lite,Sports,5,221.59,485.03,42
72,At Lite,Apparel,15,170.69,232.02,38
73,Everything Pro,Electronics,10,78.14,189.8,49
74,Hope Max,Beauty,11,128.35,309.82,30
75,East Max,Sports,17,61.0,110.22,29
76,And Pro,Sports,17,151.72,272.25,25
77,Relate Lite,Electronics,2,68.47,107.21,48
78,Design Plus,Home & Kitchen,18,265.29,321.17,16
79,National Lite,Toys,12,132.12,289.74,33
80,Whatever Pro,Books,18,18.35,26.66,45
81,Strong Plus,Books,15,90.14,197.74,27
82,Herself Standard,Toys,20,248.47,336.54,16
83,Important Lite,Books,12,121.2,264.39,22
84,Manager Plus,Books,2,182.73,230.04,18
85,Whose Plus,Books,15,215.51,300.34,42
86,Look Standard,Home & Kitchen,6,46.24,79.11,49
87,Upon Lite,Books,11,223.1,414.86,42
88,Any Standard,Home & Kitchen,16,162.04,366.29,33
89,Among Pro,Sports,19,102.72,164.35,50
90,Range Plus,Home & Kitchen,19,12.86,25.09,13
91,Game Max,Books,20,177.14,390.95,34
92,Board Max,Electronics,19,48.59,118.2,17
93,Score Plus,Home & Kitchen,14,61.28,85.6,23
94,Near Standard,Sports,2,126.06,266.93,43
95,Property Lite,Toys,16,66.17,124.61,30
96,Themselves Plus,Books,11,287.22,548.63,26
97,Eye Max,Apparel,9,184.97,356.16,24
98,They Lite,Beauty,10,282.74,598.38,41
99,Site Lite,Books,9,98.53,155.1,46
100,Everyone Plus,Sports,12,204.6,499.43,19
101,Particular Lite,Toys,3,90.68,149.65,38
102,Off Plus,Apparel,7,198.51,451.88,27
103,Over Lite,Apparel,4,280.24,560.59,47
104,Contain Pro,Toys,17,75.59,112.88,24
105,However Plus,Home & Kitchen,16,20.48,27.25,18
106,Ready Standard,Apparel,14,6.53,13.38,40
107,Human Max,Beauty,10,145.85,235.92,13
108,History Pro,Toys,19,272.84,409.77,12
109,People Max,Sports,6,274.4,662.43,12
110,Ready Plus,Beauty,16,299.17,431.46,28
111,Water Pro,Home & Kitchen,19,263.64,522.96,31
112,Thing Standard,Books,16,88.95,209.57,18
113,Bank Plus,Home & Kitchen,7,256.06,576.51,31
114,Nation Plus,Toys,9,52.94,112.98,10
115,Enter Lite,Books,7,222.3,317.48,50
116,However Plus,Books,11,269.63,353.96,16
117,Whatever Max,Sports,11,59.51,143.81,10
118,Dog Max,Sports,9,81.93,199.93,29
119,Name Standard,Electronics,9,176.83,362.46,25
120,Into Pro,Sports,10,23.33,32.84,42
121,Head Lite,Toys,4,277.32,563.05,28
122,Technology Max,Apparel,5,113.43,206.63,39
123,Trip Standard,Home & Kitchen,14,225.58,476.54,40
124,Hair Max,Beauty,8,228.42,476.13,48
125,Message Pro,Books,15,262.57,495.37,33
126,Structure Standard,Electronics,2,28.04,63.86,42
127,Meet Standard,Apparel,6,64.64,105.14,43
128,Very Max,Toys,19,135.34,248.41,42
129,Pm Pro,Sports,5,136.42,254.73,39
130,According Standard,Sports,10,171.35,366.73,35
131,More Pro,Toys,7,80.06,156.26,12
132,Us Pro,Books,2,129.99,313.92,14
133,Chair Plus,Electronics,10,295.91,512.38,18
134,Less Plus,Home & Kitchen,13,230.92,411.75,34
135,Company Standard,Apparel,12,115.82,156.85,44
136,Drug Max,Toys,8,120.95,276.4,11
137,Ball Plus,Toys,18,293.65,514.29,34
138,My Max,Sports,12,247.89,347.46,22
139,Question Pro,Electronics,14,281.54,562.91,11
140,Fast Pro,Electronics,20,76.0,94.52,48
141,Development Pro,Apparel,2,203.25,350.19,24
142,Citizen Pro,Apparel,17,164.23,409.18,24
143,Culture Standard,Home & Kitchen,19,245.66,485.74,30
144,Coach Max,Toys,17,74.89,111.39,29
145,High Standard,Books,6,86.17,173.53,37
146,Play Pro,Home & Kitchen,13,168.98,375.4,30
147,Series Plus,Apparel,10,210.41,355.47,44
148,Technology Max,Home & Kitchen,5,144.69,325.19,13
149,By Plus,Books,17,170.9,234.87,25
150,Recent Lite,Toys,3,80.22,192.44,33
