return_id,order_id,product_id,return_date,reason,quantity_returned
1,3628,120,2026-05-04,No Longer Needed,8
2,3910,137,2026-05-20,Other,4
3,3815,3,2026-06-15,Other,1
4,3475,44,2026-06-19,Defective,3
5,1688,64,2026-02-24,Late Delivery,5
6,2193,95,2026-03-03,Other,9
7,3575,101,2026-03-07,Defective,1
8,3657,70,2026-04-25,No Longer Needed,4
9,2515,101,2026-04-26,Wrong Item,6
10,3763,52,2026-06-22,Defective,2
11,1674,58,2026-06-02,Late Delivery,3
12,1456,10,2026-02-27,Wrong Item,1
13,3170,81,2026-07-01,Other,1
14,424,138,2026-08-06,Late Delivery,2
15,3706,43,2026-07-31,Wrong Item,2
16,3751,128,2026-03-12,No Longer Needed,5
17,2139,65,2026-02-20,Defective,3
18,3472,121,2026-04-19,Late Delivery,4
19,3759,126,2026-03-18,No Longer Needed,5
20,3215,18,2026-04-14,Wrong Item,3
21,3207,32,2026-03-18,Wrong Item,2
22,2596,112,2026-06-03,Other,2
23,2439,133,2026-07-21,Wrong Item,3
24,2943,114,2026-04-27,Defective,4
25,2323,144,2026-03-03,Wrong Item,1
26,2638,66,2026-03-25,Defective,1
27,3788,33,2026-07-20,Other,8
28,2577,122,2026-05-01,Late Delivery,2
29,3451,59,2026-06-28,Wrong Item,6
30,2825,66,2026-05-15,Other,5
31,1653,116,2026-04-03,Wrong Item,5
32,1086,18,2026-07-06,Defective,2
33,3117,46,2026-06-26,Defective,1
34,1683,111,2026-07-06,Other,4
35,2824,48,2026-05-31,Other,5
36,358,120,2026-06-03,Wrong Item,4
37,3488,38,2026-04-02,Defective,3
38,2181,51,2026-07-04,No Longer Needed,4
39,3983,50,2026-07-11,Wrong Item,2
40,648,87,2026-07-13,Wrong Item,4
41,1709,117,2026-06-13,No Longer Needed,1
42,1871,88,2026-04-26,Other,6
43,1595,91,2026-04-18,Other,6
44,3013,71,2026-05-11,No Longer Needed,1
45,2060,119,2026-06-17,Other,2
46,3069,136,2026-06-05,Other,1
